No. Stations,Air Quality,Index Value,year,day,month,weekdays,month_sin,month_cos,AQI_lag_1,AQI_lag_week_ago,"Prominent Pollutant_CO, PM10","Prominent Pollutant_CO, PM2.5",Prominent Pollutant_NO2,Prominent Pollutant_O3,"Prominent Pollutant_O3, PM10","Prominent Pollutant_O3, PM2.5",Prominent Pollutant_OZONE,Prominent Pollutant_PM10,"Prominent Pollutant_PM10, PM2.5",Prominent Pollutant_PM2.5
1.0,Good,39,2016,29,5,6,0.49999999999999994,-0.8660254037844387,45.0,87.0,False,False,False,False,False,False,False,True,False,False
1.0,Good,36,2016,30,5,0,0.49999999999999994,-0.8660254037844387,39.0,62.0,False,False,False,True,False,False,False,False,False,False
1.0,Good,47,2016,1,6,2,1.2246467991473532e-16,-1.0,36.0,55.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,52,2016,2,6,3,1.2246467991473532e-16,-1.0,47.0,44.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,57,2016,3,6,4,1.2246467991473532e-16,-1.0,52.0,40.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,67,2016,4,6,5,1.2246467991473532e-16,-1.0,57.0,55.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,82,2016,5,6,6,1.2246467991473532e-16,-1.0,67.0,45.0,False,False,False,False,False,False,False,True,False,False
1.0,Moderate,116,2016,7,6,1,1.2246467991473532e-16,-1.0,82.0,39.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,83,2016,8,6,2,1.2246467991473532e-16,-1.0,116.0,36.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,60,2016,10,6,4,1.2246467991473532e-16,-1.0,83.0,47.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,84,2016,11,6,5,1.2246467991473532e-16,-1.0,60.0,52.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,63,2016,13,6,0,1.2246467991473532e-16,-1.0,84.0,57.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,68,2016,14,6,1,1.2246467991473532e-16,-1.0,63.0,67.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,81,2016,15,6,2,1.2246467991473532e-16,-1.0,68.0,82.0,False,False,False,False,False,False,False,True,False,False
1.0,Moderate,136,2016,16,6,3,1.2246467991473532e-16,-1.0,81.0,116.0,False,False,False,False,False,False,False,True,False,False
1.0,Moderate,126,2016,17,6,4,1.2246467991473532e-16,-1.0,136.0,83.0,False,False,False,False,False,False,False,True,False,False
1.0,Moderate,112,2016,18,6,5,1.2246467991473532e-16,-1.0,126.0,60.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,100,2016,19,6,6,1.2246467991473532e-16,-1.0,112.0,84.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,91,2016,20,6,0,1.2246467991473532e-16,-1.0,100.0,63.0,False,False,False,False,False,False,False,True,False,False
1.0,Good,42,2016,21,6,1,1.2246467991473532e-16,-1.0,91.0,68.0,False,False,False,True,False,False,False,False,False,False
1.0,Good,31,2016,22,6,2,1.2246467991473532e-16,-1.0,42.0,81.0,False,False,False,True,False,False,False,False,False,False
1.0,Good,46,2016,23,6,3,1.2246467991473532e-16,-1.0,31.0,136.0,False,False,False,False,False,False,False,True,False,False
1.0,Good,45,2016,24,6,4,1.2246467991473532e-16,-1.0,46.0,126.0,False,False,False,False,False,False,False,True,False,False
1.0,Satisfactory,57,2016,28,6,1,1.2246467991473532e-16,-1.0,45.0,112.0,False,False,False,False,False,False,False,True,False,False
